@relation 'cleaned_checkup_edu_smoke-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.supervised.attribute.NominalToBinary'

@attribute '_INCOMG=$50,000 or more' numeric
@attribute '_INCOMG=$35,000 to less than $50,000' numeric
@attribute '_INCOMG=Less than $15,000' numeric
@attribute '_INCOMG=$25,000 to less than $35,000' numeric
@attribute '_INCOMG=$15,000 to less than $25,000' numeric
@attribute _SMOKER3 {0,1}

@data
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
0,1,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,1
0,0,0,0,1,1
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,1,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,1,0,0,1
0,0,0,1,0,0
0,1,0,0,0,0
0,1,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,1,0,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,1
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,1
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,1,0,1
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,1,0,0,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,0,1,0,1
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,1
0,0,0,1,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,0,1,0,0,1
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,1,0,0
0,0,0,1,0,0
0,1,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,1
0,0,0,0,1,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,1
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
1,0,0,0,0,0
0,1,0,0,0,1
0,0,0,1,0,0
0,1,0,0,0,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,1
0,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,1
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,1,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
0,0,1,0,0,1
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,1,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,1
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,1
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,1
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,1,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,1
1,0,0,0,0,0
0,0,1,0,0,1
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,0,1,1
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,1
1,0,0,0,0,1
0,1,0,0,0,1
0,0,0,0,1,1
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
1,0,0,0,0,0
